round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
458,0.7765,0.1699,446958480,0.003997,0,6,4,0,0,0.6730,1.2876,1,used,1,1
459,0.7765,0.1211,446958480,0.003989,0,0,3,0,7,0.6109,1.2876,4,interp1,1,1
460,0.7599,0.1882,446958480,0.003982,0,0,7,0,3,0.6109,1.2876,2,topk,1,1
461,0.7502,0.0768,446958480,0.003974,0,0,9,1,0,0.3251,1.2876,2,topk,1,1
462,0.8089,0.1303,446958480,0.003966,0,0,7,3,0,0.6109,1.2876,2,topk,1,1
463,0.7713,0.0880,446958480,0.003958,0,0,8,0,2,0.5004,1.2876,2,topk,1,1
464,0.7004,0.1163,446958480,0.003950,0,4,5,1,0,0.9433,1.2876,2,topk,1,1
465,0.8339,0.0884,446958480,0.003942,2,2,5,1,0,1.2206,1.2876,2,topk,1,1
466,0.7260,0.1497,446958480,0.003934,0,3,1,1,5,1.1683,1.2876,4,interp1,1,1
467,0.7344,0.1021,446958480,0.003926,0,2,3,4,1,1.2799,1.2876,3,interp0,1,1
468,0.7524,0.0656,446958480,0.003918,1,0,4,0,5,0.9433,1.2876,4,interp1,1,1
469,0.7841,0.1904,446958480,0.003910,0,0,3,3,4,1.0889,1.2876,4,interp1,1,1
